symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2026-03-23,253.99,254.56,251.02,252.18,12122283,-1.81,-0.71262648,252.59
AAPL,2026-03-20,247.98,249.2,246.0,247.99,88331081,0.015,0.00403258,247.7925
AAPL,2026-03-19,249.4,251.83,247.3,248.96,34864100,-0.44,-0.17642,249.3725
AAPL,2026-03-18,252.63,254.94,249.0,249.94,35757900,-2.69,-1.06,251.6275
AAPL,2026-03-17,252.96,255.13,252.18,254.23,32361607,1.27,0.50206,253.625
AAPL,2026-03-16,252.11,253.89,249.88,252.82,32074209,0.715,0.28162,252.175
AAPL,2026-03-13,255.48,256.33,249.52,250.12,36930000,-5.36,-2.1,252.8625
AAPL,2026-03-12,258.66,258.95,254.18,255.76,40794020,-2.9,-1.12,256.8875
AAPL,2026-03-11,261.09,262.13,259.55,260.81,26218927,-0.28,-0.10724,260.895
AAPL,2026-03-10,257.65,262.48,256.95,260.83,30590800,3.19,1.23,259.4775
AAPL,2026-03-09,255.69,261.15,253.68,259.88,38218533,4.19,1.64,257.6
AAPL,2026-03-06,258.63,258.77,254.37,257.46,41120042,-1.17,-0.45238,257.3075
AAPL,2026-03-05,260.79,261.56,257.25,260.29,49658626,-0.5,-0.19173,259.9725
AAPL,2026-03-04,264.65,266.15,261.42,262.52,39803119,-2.13,-0.80484,263.685
AAPL,2026-03-03,263.48,265.56,260.13,263.75,38568921,0.27,0.10247,263.23
AAPL,2026-03-02,262.41,266.53,260.2,264.72,41827946,2.31,0.8803,263.465
AAPL,2026-02-27,272.81,272.81,262.89,264.18,72366505,-8.63,-3.16,268.1725
AAPL,2026-02-26,274.95,276.11,270.8,272.95,32345114,-2.0,-0.7274,273.7025
AAPL,2026-02-25,271.78,274.94,271.05,274.23,33714342,2.45,0.90146,273.0
AAPL,2026-02-24,267.86,274.89,267.71,272.14,47014619,4.28,1.6,270.65
AAPL,2026-02-23,263.49,269.43,263.38,266.18,37308200,2.69,1.02,265.62
