date,symbol,close,volume
2021-03-29,AAPL,121.39,80819203
2021-03-29,AMZN,153.79,54920000
2021-03-29,GOOGL,102.29,26492620
2021-03-29,MSFT,235.24,25227500
2021-03-29,NVDA,12.95,273520000
2021-03-30,AAPL,119.9,85671919
2021-03-30,AMZN,152.76,46752000
2021-03-30,GOOGL,102.32,27317120
2021-03-30,MSFT,231.85,24792012
2021-03-30,NVDA,12.87,200204000
2021-03-31,AAPL,122.15,118323826
2021-03-31,AMZN,154.7,61878000
2021-03-31,GOOGL,103.13,42570000
2021-03-31,MSFT,235.77,43623500
2021-03-31,NVDA,13.35,314777520
2021-04-01,AAPL,123.0,75089134
2021-04-01,AMZN,158.05,58806000
2021-04-01,GOOGL,106.49,39880100
2021-04-01,MSFT,242.35,30338000
2021-04-01,NVDA,13.81,308276000
2021-04-05,AAPL,125.9,88651200
2021-04-05,AMZN,161.34,66698000
2021-04-05,GOOGL,110.95,48510000
2021-04-05,MSFT,249.07,36910609
2021-04-05,NVDA,13.99,255672000
2021-04-06,AAPL,126.21,80171300
2021-04-06,AMZN,161.19,50756000
2021-04-06,GOOGL,110.46,35240780
2021-04-06,MSFT,247.86,22931923
2021-04-06,NVDA,13.86,191745960
2021-04-07,AAPL,127.9,83466716
2021-04-07,AMZN,163.97,66924000
2021-04-07,GOOGL,111.95,24134000
2021-04-07,MSFT,249.9,22719835
2021-04-07,NVDA,14.14,251284360
2021-04-08,AAPL,130.36,88844600
2021-04-08,AMZN,164.96,56242000
2021-04-08,GOOGL,112.52,28664280
2021-04-08,MSFT,253.25,23625200
2021-04-08,NVDA,14.32,244416000
2021-04-09,AAPL,133.0,106686703
2021-04-09,AMZN,168.61,86830000
2021-04-09,GOOGL,113.53,26146000
2021-04-09,MSFT,255.85,24326833
2021-04-09,NVDA,14.4,195172000
2021-04-12,AAPL,131.24,91420000
2021-04-12,AMZN,168.97,65636000
2021-04-12,GOOGL,112.23,25024000
2021-04-12,MSFT,255.91,27148700
2021-04-12,NVDA,15.21,869324000
2021-04-13,AAPL,134.43,91266545
2021-04-13,AMZN,170.0,66316000
2021-04-13,GOOGL,112.72,25682000
2021-04-13,MSFT,258.49,23837500
2021-04-13,NVDA,15.68,676212000
2021-04-14,AAPL,132.03,87222800
2021-04-14,AMZN,166.65,62904000
2021-04-14,GOOGL,112.1,21002860
2021-04-14,MSFT,255.59,23070938
2021-04-14,NVDA,15.28,385501920
2021-04-15,AAPL,134.5,89347102
2021-04-15,AMZN,168.95,64672000
2021-04-15,GOOGL,114.26,29174980
2021-04-15,MSFT,259.5,25627500
2021-04-15,NVDA,16.14,598480680
2021-04-16,AAPL,134.16,84922400
2021-04-16,AMZN,169.97,63720000
2021-04-16,GOOGL,114.14,26282780
2021-04-16,MSFT,260.74,24878600
2021-04-16,NVDA,15.91,335208000
2021-04-19,AAPL,134.84,94264215
2021-04-19,AMZN,168.6,54508000
2021-04-19,GOOGL,114.49,30290000
2021-04-19,MSFT,258.74,23209300
2021-04-19,NVDA,15.36,404420000
2021-04-20,AAPL,133.11,94812349
2021-04-20,AMZN,166.73,52460000
2021-04-20,GOOGL,113.95,22288320
2021-04-20,MSFT,258.26,19722900
2021-04-20,NVDA,15.17,334133040
2021-04-21,AAPL,133.5,68847136
2021-04-21,AMZN,168.1,44224000
2021-04-21,GOOGL,113.92,23204180
2021-04-21,MSFT,260.58,24030400
2021-04-21,NVDA,15.36,216777040
2021-04-22,AAPL,131.94,84566500
2021-04-22,AMZN,165.45,51612000
2021-04-22,GOOGL,112.63,24146000
2021-04-22,MSFT,257.17,25606200
2021-04-22,NVDA,14.85,277788000
2021-04-23,AAPL,134.32,78756779
2021-04-23,AMZN,167.04,63856000
2021-04-23,GOOGL,115.0,29111080
2021-04-23,MSFT,261.15,21499286
2021-04-23,NVDA,15.27,227772200
2021-04-26,AAPL,134.72,66905100
2021-04-26,AMZN,170.45,97614000
2021-04-26,GOOGL,115.5,32038000
2021-04-26,MSFT,261.55,19763346
2021-04-26,NVDA,15.48,197797080
2021-04-27,AAPL,134.39,66015804
2021-04-27,AMZN,170.87,76542000
2021-04-27,GOOGL,114.55,44386000
2021-04-27,MSFT,261.97,31014213
2021-04-27,NVDA,15.38,164573000
2021-04-28,AAPL,133.58,107760100
2021-04-28,AMZN,172.93,92638000
2021-04-28,GOOGL,117.95,81106800
2021-04-28,MSFT,254.56,46903119
2021-04-28,NVDA,15.28,209416200
2021-04-29,AAPL,133.48,151101000
2021-04-29,AMZN,173.57,153648000
2021-04-29,GOOGL,119.64,41234000
2021-04-29,MSFT,252.51,40589023
2021-04-29,NVDA,15.32,173196480
2021-04-30,AAPL,131.46,109839500
2021-04-30,AMZN,173.37,140186000
2021-04-30,GOOGL,117.68,44856760
2021-04-30,MSFT,252.18,30945100
2021-04-30,NVDA,15.01,201912000
2021-05-03,AAPL,132.54,75135100
2021-05-03,AMZN,169.32,117510000
2021-05-03,GOOGL,117.15,28242780
2021-05-03,MSFT,251.86,19626600
2021-05-03,NVDA,14.84,203912000
2021-05-04,AAPL,127.85,137564718
2021-05-04,AMZN,165.59,108788000
2021-05-04,GOOGL,115.34,44818640
2021-05-04,MSFT,247.79,32756100
2021-05-04,NVDA,14.35,405324800
2021-05-05,AAPL,128.1,84000900
2021-05-05,AMZN,163.53,74226000
2021-05-05,GOOGL,115.74,26636180
2021-05-05,MSFT,246.47,21901325
2021-05-05,NVDA,14.46,292024000
2021-05-06,AAPL,129.74,78128334
2021-05-06,AMZN,165.32,88954000
2021-05-06,GOOGL,116.87,25190460
2021-05-06,MSFT,249.73,26491100
2021-05-06,NVDA,14.52,193380920
2021-05-07,AAPL,130.21,78973300
2021-05-07,AMZN,164.58,94206000
2021-05-07,GOOGL,117.6,28898000
2021-05-07,MSFT,252.46,27032912
2021-05-07,NVDA,14.81,229328000
2021-05-10,AAPL,126.85,88071229
2021-05-10,AMZN,159.52,116772000
2021-05-10,GOOGL,114.59,30914580
2021-05-10,MSFT,247.18,29299900
2021-05-10,NVDA,14.27,268904000
2021-05-11,AAPL,125.91,126142826
2021-05-11,AMZN,161.2,92396000
2021-05-11,GOOGL,113.5,34186000
2021-05-11,MSFT,246.23,33641600
2021-05-11,NVDA,14.31,285585360
2021-05-12,AAPL,122.77,112172300
2021-05-12,AMZN,157.6,98728000
2021-05-12,GOOGL,110.01,46376000
2021-05-12,MSFT,239.0,36684400
2021-05-12,NVDA,13.76,303409320
2021-05-13,AAPL,124.97,105861339
2021-05-13,AMZN,158.07,67018000
2021-05-13,GOOGL,111.45,33220400
2021-05-13,MSFT,243.03,29624300
2021-05-13,NVDA,13.67,285727480
2021-05-14,AAPL,127.45,81918000
2021-05-14,AMZN,161.15,66500000
2021-05-14,GOOGL,113.92,31996580
2021-05-14,MSFT,248.15,23901100
2021-05-14,NVDA,14.24,258616000
2021-05-17,AAPL,126.27,74244624
2021-05-17,AMZN,163.52,74478000
2021-05-17,GOOGL,114.45,21598000
2021-05-17,MSFT,245.18,24970200
2021-05-17,NVDA,14.17,216980840
2021-05-18,AAPL,124.85,63342929
2021-05-18,AMZN,161.61,56568000
2021-05-18,GOOGL,113.12,22204000
2021-05-18,MSFT,243.08,20168000
2021-05-18,NVDA,14.02,186256000
2021-05-19,AAPL,124.69,92612000
2021-05-19,AMZN,161.59,53594000
2021-05-19,GOOGL,113.58,23684100
2021-05-19,MSFT,243.12,25739807
2021-05-19,NVDA,14.07,344000000
2021-05-20,AAPL,127.31,76857123
2021-05-20,AMZN,162.38,52664000
2021-05-20,GOOGL,115.35,32352000
2021-05-20,MSFT,246.48,21800716
2021-05-20,NVDA,14.61,321592000
2021-05-21,AAPL,125.43,79295436
2021-05-21,AMZN,160.15,82098000
2021-05-21,GOOGL,114.71,40632000
2021-05-21,MSFT,245.17,21863100
2021-05-21,NVDA,14.99,672992000
2021-05-24,AAPL,127.1,63092945
2021-05-24,AMZN,162.25,48456000
2021-05-24,GOOGL,118.05,31832200
2021-05-24,MSFT,250.78,21411547
2021-05-24,NVDA,15.61,554816200
2021-05-25,AAPL,126.9,72009500
2021-05-25,AMZN,162.95,65222000
2021-05-25,GOOGL,118.14,22440000
2021-05-25,MSFT,251.72,17704303
2021-05-25,NVDA,15.65,435408000
2021-05-26,AAPL,126.85,56575920
2021-05-26,AMZN,163.26,47680000
2021-05-26,GOOGL,119.02,21572000
2021-05-26,MSFT,251.49,17771600
2021-05-26,NVDA,15.7,370440000
2021-05-27,AAPL,125.28,94625601
2021-05-27,AMZN,161.51,51224000
2021-05-27,GOOGL,118.13,35224020
2021-05-27,MSFT,249.31,24426244
2021-05-27,NVDA,15.49,581476000
2021-05-28,AAPL,124.61,71311109
2021-05-28,AMZN,161.15,46596000
